chr	start	end	strand	pvalue	qvalue	meth.diff
1686	chr1	2360601	2360800	*	0.000810197901356828	0.0111645377478097	14.6531100478469
1723	chr1	2435201	2435400	*	2.49000180421252e-06	6.68987017746539e-05	18.3621866468106
1876	chr1	2609601	2609800	*	1.32292452429442e-08	5.24389518441763e-07	19.0255220417633
2800	chr1	3867401	3867600	*	8.68365786610505e-06	0.000208354225742602	11.6144792360648
2856	chr1	3972401	3972600	*	0.00118781013547907	0.0153801733933092	11.8392589716568
2880	chr1	4011801	4012000	*	1.2096756482163e-05	0.000281392671557336	11.1555408399766
2881	chr1	4015601	4015800	*	0.00111599999138394	0.0146053054776541	11.9073718827076
2999	chr1	4238801	4239000	*	0.000497931002260418	0.00741012484754697	12.643975112489
3121	chr1	4483801	4484000	*	0.000279030916069658	0.00450953364054553	13.4445627736363
3188	chr1	4585401	4585600	*	4.26551577178746e-05	0.000867302463183828	14.0287277701778
3197	chr1	4598001	4598200	*	0.000520173347106012	0.00768512950864908	11.5934184888504
3283	chr1	4728201	4728400	*	1.52268340390644e-08	5.97345851853027e-07	16.2898678901111
3422	chr1	4962201	4962400	*	2.76810571914093e-08	1.04618762531088e-06	16.2322173950081
3440	chr1	4986601	4986800	*	1.1674309887558e-06	3.34564433058482e-05	10.208143767061
3461	chr1	5034401	5034600	*	4.68010353087173e-07	1.44072004455781e-05	22.3846396965866
3568	chr1	5182401	5182600	*	0.00190743322543544	0.0227381857600912	11.5547924545813
3633	chr1	5269801	5270000	*	0.000243139360988837	0.00399823125212002	13.4609225549006
3753	chr1	5413801	5414000	*	0.00352582616522642	0.0373393243110803	10.3343099691984
3757	chr1	5422001	5422200	*	0.00114451477154134	0.0149162898842057	10.4461501559127
3882	chr1	5600801	5601000	*	4.36255133630192e-08	1.60398251386231e-06	17.0966156869971
3943	chr1	5649801	5650000	*	0.000556350803623824	0.00812909059654709	14.9945325314379
3944	chr1	5650201	5650400	*	9.96628531021204e-07	2.8915275683652e-05	13.9357122742085
3972	chr1	5701801	5702000	*	1.43671525506212e-05	0.000328161527002805	15.3932172672412
4023	chr1	5795801	5796000	*	7.97785820440323e-07	2.35155436364647e-05	10.9406026072693
4136	chr1	5958201	5958400	*	0.00219022314418707	0.0254504912513674	11.2103174603175
4200	chr1	6033401	6033600	*	1.56492169224695e-09	7.07690662710034e-08	13.3565621370499
4216	chr1	6065001	6065200	*	2.35830741645748e-06	6.36307809676706e-05	17.6534806062163
4361	chr1	6254201	6254400	*	9.61965208613555e-18	9.47293668301184e-16	32.2838512224925
4362	chr1	6254801	6255000	*	3.19488223885328e-14	2.39093219596916e-12	23.4281283134723
4363	chr1	6255201	6255400	*	3.08097777244874e-08	1.15820721471792e-06	22.2267460068901
4425	chr1	6331801	6332000	*	4.33336792431964e-08	1.59397773907355e-06	13.1340579710145
4426	chr1	6334201	6334400	*	0.000303160087571296	0.00484092944477757	10.8752363401383
4452	chr1	6359001	6359200	*	9.40430147043971e-14	6.73387328983495e-12	18.1324092976613
4486	chr1	6385601	6385800	*	0.000261020747520543	0.00425333425029503	15.8774774774775
4510	chr1	6412401	6412600	*	0.000319127468214031	0.00506289337141579	12.9245466952622
4575	chr1	6505801	6506000	*	0.000156820418145341	0.00273914992808746	11.2238994100569
4646	chr1	6628001	6628200	*	0.000245323280983573	0.00402931168504956	12.2080791079318
4764	chr1	6892201	6892400	*	0.000835493636688211	0.011451611118549	13.8865851130002
4844	chr1	7052401	7052600	*	4.07225501467105e-14	3.01403637359265e-12	24.3881856540084
4869	chr1	7102401	7102600	*	0.00303395890489088	0.0331202883380835	10.580636308392
4910	chr1	7183601	7183800	*	0.00122584396105596	0.0157891780534526	10.4939014604397
4921	chr1	7206201	7206400	*	0.000123870003596583	0.00222640191857544	14.9977831588281
4970	chr1	7249201	7249400	*	0.000464367354076922	0.00697874039630056	11.0618500273673
5000	chr1	7305201	7305400	*	2.39174804554969e-11	1.34522466099533e-09	22.6167232597623
5104	chr1	7417801	7418000	*	5.16349521775304e-06	0.000130120920236288	17.2209119496855
5145	chr1	7504001	7504200	*	2.80362917317983e-22	3.75162820683142e-20	26.7992869698695
5226	chr1	7619601	7619800	*	5.31821466889107e-08	1.92772842699525e-06	16.2417119328836
5320	chr1	7704401	7704600	*	5.5261329635208e-06	0.000138503720455908	18.0438104941416
5357	chr1	7774801	7775000	*	5.31183085520077e-05	0.00105283375787321	11.986931986932
5381	chr1	7798601	7798800	*	9.76458844938556e-08	3.38751154481482e-06	17.9029724222675
5401	chr1	7817001	7817200	*	8.70572814805868e-09	3.5380264020958e-07	15.2261721163109
5504	chr1	7901201	7901400	*	0.000685243030841591	0.00969175776672307	13.3603766751177
5551	chr1	7997001	7997200	*	3.39139949006289e-07	1.06936051742781e-05	12.7303570051662
5606	chr1	8030601	8030800	*	0.000396374559859537	0.00609866155240108	14.6067415730337
5616	chr1	8034601	8034800	*	0.000475145336472206	0.00711590811461447	10.4519774011299
5634	chr1	8073401	8073600	*	1.71835429183712e-06	4.76605802284354e-05	19.8367335776404
5827	chr1	8329801	8330000	*	8.77284319310034e-05	0.00164283933020542	11.1508100709807
5849	chr1	8365801	8366000	*	5.572028923637e-05	0.00109874798883504	15.7172995780591
5945	chr1	8503601	8503800	*	5.23018645785102e-07	1.59487086340898e-05	16.1845831055161
5964	chr1	8517401	8517600	*	1.96238475218031e-08	7.57341572930498e-07	19.2250233426704
6049	chr1	8593601	8593800	*	1.78863296068801e-15	1.48345899697977e-13	15.917635241785
6067	chr1	8619201	8619400	*	4.18841443552748e-05	0.000853450524849112	15.6040125091854
6162	chr1	8730601	8730800	*	5.40551398637665e-14	3.95376523209276e-12	22.1299810246679
6187	chr1	8767601	8767800	*	1.50264827363899e-07	5.04198755961235e-06	13.7919896640827
6220	chr1	8814401	8814600	*	0.000813383345822723	0.011202225937	10.2838338132456
6337	chr1	8966801	8967000	*	3.69519247885833e-07	1.15826008482704e-05	11.6161094617271
6366	chr1	9029201	9029400	*	0.00103131000559568	0.0136864328660172	10.9564297547053
6430	chr1	9123801	9124000	*	0.000914839641496591	0.0123702852720527	12.4815125714514
6497	chr1	9189801	9190000	*	0.00367919116768053	0.03861119072174	10.1937069675852
6551	chr1	9274801	9275000	*	0.000595125509213705	0.00860002883627613	13.8888888888889
6883	chr1	9698801	9699000	*	2.03595818173365e-07	6.68166482823715e-06	10.5635652805464
6884	chr1	9699001	9699200	*	0.0013661204810844	0.0172677419908532	13.823754789272
6962	chr1	9842401	9842600	*	0.000216685834918865	0.00361956130785474	17.1584370400107
7033	chr1	9914601	9914800	*	3.80115664014263e-05	0.000782929989367286	11.1676431287902
7381	chr1	10268601	10268800	*	0.00133459462365144	0.0169454462090902	11.1111111111111
7385	chr1	10270401	10270600	*	0.00387059129417467	0.0401854472270115	14.7143198661248
7449	chr1	10361401	10361600	*	4.69845673282565e-07	1.445819199005e-05	10.2572087658593
7456	chr1	10367201	10367400	*	3.66696696594377e-06	9.52365314813692e-05	19.1550387596899
7459	chr1	10368001	10368200	*	8.44330833006959e-06	0.000202994091009728	15.5548402671602
7483	chr1	10393601	10393800	*	1.87003636770565e-05	0.000415768832709472	13.8679245283019
7485	chr1	10400201	10400400	*	0.002738643671794	0.0305136484798579	12.4634935669745
7489	chr1	10407201	10407400	*	7.62608530148717e-08	2.69096174201144e-06	14.1774891774892
7519	chr1	10433001	10433200	*	0.000608140698551859	0.00875913584985019	10.1973684210526
7660	chr1	10536401	10536600	*	0.00034457836124211	0.00540644182744774	13.7492915170981
7661	chr1	10536601	10536800	*	0.000486153539614818	0.00725690194226767	13.8044803093347
7813	chr1	10728601	10728800	*	0.000341669284056853	0.00536783214536584	11.9021266503281
7945	chr1	10872401	10872600	*	1.44967569090929e-31	3.16882922289426e-29	42.0011125017383
7995	chr1	10920601	10920800	*	0.00211932128649987	0.0247771128339152	10.3554845769379
8001	chr1	10923601	10923800	*	7.30283606604394e-05	0.00139751093220866	13.4193392814082
8012	chr1	10938601	10938800	*	0.000357331693173061	0.00558000267485278	10.6970995001283
8025	chr1	10952201	10952400	*	0.00100883601085092	0.0134367201566818	14.1543859649123
8050	chr1	10970001	10970200	*	3.45839359171477e-06	9.0218192139134e-05	16.8573796652523
8193	chr1	11143201	11143400	*	1.65140380400996e-08	6.44402059771248e-07	13.2218442217306
8318	chr1	11221601	11221800	*	9.87684792058162e-08	3.42535367663704e-06	15.1884563456346
8397	chr1	11293201	11293400	*	9.88213350259924e-07	2.86891477051094e-05	13.1596166835529
8420	chr1	11318401	11318600	*	0.00029357546281147	0.00471045012056244	12.8342459730605
8462	chr1	11354601	11354800	*	0.00256943520073552	0.0289615950938962	16.0287987874195
8509	chr1	11375601	11375800	*	6.24947408803218e-09	2.59492747489876e-07	16.2609351432881
8615	chr1	11459001	11459200	*	0.000117001960128414	0.00211791162909169	10.8393113342898
8654	chr1	11504201	11504400	*	1.22748549474024e-06	3.50315441087376e-05	16.7804621848739
8700	chr1	11528401	11528600	*	2.80130555792176e-06	7.44649043316088e-05	10.180215264961
8766	chr1	11593001	11593200	*	0.00134115824205937	0.0170114140981056	11.5855419946559
8858	chr1	11717801	11718000	*	0.000305572129648895	0.00487511333192465	10.9057499425771
8864	chr1	11719801	11720000	*	0.000412338127227039	0.00631004375415429	13.5676777833641
9100	chr1	11941401	11941600	*	4.62080353723211e-10	2.23232654593509e-08	15.4149159663866
9435	chr1	12212801	12213000	*	5.43314525933452e-06	0.00013631050959516	12.1871628910464
9514	chr1	12268201	12268400	*	1.87122544827763e-07	6.17867307666306e-06	18.9187425214837
9519	chr1	12278201	12278400	*	1.84926058729395e-06	5.09157552013817e-05	17.0132839721254
9580	chr1	12365401	12365600	*	1.75710065862802e-06	4.86143044926335e-05	10.2824939363675
9594	chr1	12382201	12382400	*	0.00471689034398516	0.0469318299643926	16.4954870837224
9659	chr1	12448001	12448200	*	1.75259310296771e-09	7.85636283007728e-08	24.4734299516908
9670	chr1	12464601	12464800	*	4.48329365922313e-07	1.38488148177669e-05	18.5610010427529
9817	chr1	12551201	12551400	*	0.000267533894276927	0.00434632188726041	12.3694575022233
9889	chr1	12604801	12605000	*	3.79424269159869e-07	1.1862021863577e-05	17.5116870820759
9908	chr1	12624801	12625000	*	0.00258733037771309	0.0291228156925299	11.9939351699008
9909	chr1	12627001	12627200	*	9.90192040959767e-05	0.00182728492195141	17.8380340900405
10011	chr1	12767201	12767400	*	5.81459579781963e-05	0.00114108138472642	10.8495704361409
10038	chr1	12800201	12800400	*	6.6987887712702e-05	0.00129448342732839	10.6232193732194
10234	chr1	12979201	12979400	*	3.58901348394594e-10	1.75776781924869e-08	27.4233709756611
10556	chr1	13176401	13176600	*	0.000658458550119297	0.00936619882443051	13.8248847926267
10560	chr1	13178201	13178400	*	0.000807971714012465	0.0111381336160497	14.0823190262652
10670	chr1	13242801	13243000	*	1.7979422080247e-06	4.96211311667724e-05	19.0320306204674
10695	chr1	13261001	13261200	*	1.70632384115089e-09	7.66276377254699e-08	21.2644934056611
10987	chr1	13520001	13520200	*	1.70754329895693e-06	4.73851163967939e-05	18.4873949579832
10993	chr1	13523601	13523800	*	0.00498102918923926	0.048932854727553	11.2081369387249
11051	chr1	13561201	13561400	*	7.74085471276184e-05	0.00147131711597269	11.3045332764619
11094	chr1	13608001	13608200	*	3.56597076782962e-05	0.000739515784747474	14.318474362339
11201	chr1	13690801	13691000	*	3.53136560030981e-06	9.19881868219325e-05	14.7006084538824
11217	chr1	13701801	13702000	*	6.34007422783069e-07	1.90086331529757e-05	15.5042270531401
11486	chr1	13911001	13911200	*	3.54762378904803e-05	0.00073610265287997	12.5998743154682
11542	chr1	13968001	13968200	*	3.01594184533943e-05	0.000636236575465364	10.2707188051032
11705	chr1	14107601	14107800	*	6.19368237054982e-05	0.00120679950965763	10.2900472169888
11733	chr1	14135601	14135800	*	0.00227074646451565	0.0262109463170343	11.0490227837167
11781	chr1	14159401	14159600	*	0.00193395592757974	0.0229992348284365	12.7343981070689
11848	chr1	14199001	14199200	*	5.52328262460381e-16	4.76933225389415e-14	29.2299367299367
11881	chr1	14217001	14217200	*	0.000812962719105066	0.0111978640031717	14.3238876460353
11888	chr1	14221001	14221200	*	0.000747729994353966	0.0104286363237086	12.8984147602896
11983	chr1	14329201	14329400	*	5.01353857303892e-08	1.82506628626689e-06	15.6809977026584
11984	chr1	14329401	14329600	*	5.7202851882543e-07	1.72915149488458e-05	13.7647267775739
12034	chr1	14386001	14386200	*	8.96280358980575e-06	0.000214383742608168	13.2597754548974
12113	chr1	14453001	14453200	*	8.77712120204896e-06	0.000210378178346554	12.2321057647663
12298	chr1	14635601	14635800	*	2.18392311852911e-12	1.36936930585824e-10	19.4703656998739
12347	chr1	14688001	14688200	*	3.88231746348478e-12	2.3757819957482e-10	22.4664668301693
12505	chr1	14812201	14812400	*	1.24419236154066e-09	5.69500981022184e-08	18.3932209777527
12506	chr1	14814401	14814600	*	9.79075984967142e-05	0.00181059549034299	10.0750528378149
12706	chr1	14996601	14996800	*	0.000488922360564363	0.00729286686018815	14.5823047299299
13234	chr1	15483401	15483600	*	4.67280964170495e-06	0.000118858074610122	12.9785247432306
13754	chr1	15919201	15919400	*	1.3731391148429e-05	0.000315221267687207	14.6009882791053
13879	chr1	15990801	15991000	*	5.76127265446092e-06	0.000143839561366687	10.6459948320413
14055	chr1	16140201	16140400	*	7.4570730805735e-09	3.06252375365113e-07	14.0269151138716
14118	chr1	16190401	16190600	*	2.37561755742675e-06	6.40550678094795e-05	10.4844880589601
14667	chr1	16592201	16592400	*	2.06562135828347e-24	3.09453520050998e-22	21.5841338795026
14668	chr1	16592401	16592600	*	1.3533393253296e-43	5.47590713557879e-41	27.4057146726251
14669	chr1	16592601	16592800	*	3.28985660807345e-34	8.15634391759408e-32	37.8681339851181
14941	chr1	16792801	16793000	*	5.09345609871965e-10	2.44859202465993e-08	19.7068581418364
15634	chr1	17142601	17142800	*	8.95690950780411e-11	4.71152806751439e-09	12.7010775529783
15635	chr1	17142801	17143000	*	4.78301884652039e-05	0.000959387715527392	10.7316421895861
16433	chr1	17642601	17642800	*	4.9774287236754e-10	2.3960204158957e-08	16.381193015444
16604	chr1	17756201	17756400	*	1.82948999890936e-08	7.09866907034009e-07	13.8505948687512
16607	chr1	17765001	17765200	*	1.12930214493313e-15	9.52505486208843e-14	24.7177944220387
16730	chr1	17867801	17868000	*	2.07128561346134e-05	0.000455222236362959	12.3074229691877
16734	chr1	17870001	17870200	*	1.08984388139658e-07	3.74629215156384e-06	12.265625
16773	chr1	17909201	17909400	*	4.95876038026031e-09	2.0901329447746e-07	13.7835962263443
16781	chr1	17923201	17923400	*	1.8778082650566e-08	7.2713146339631e-07	18.8597213530516
17044	chr1	18077601	18077800	*	5.66988620201356e-21	7.00165733353786e-19	42.5834542815675
17169	chr1	18229601	18229800	*	1.33191771920895e-12	8.52672331099727e-11	29.7166968053044
17277	chr1	18363201	18363400	*	3.1413634757781e-10	1.55168903458265e-08	27.2065795440491
17413	chr1	18460201	18460400	*	5.64151150799642e-05	0.00111062023695048	16.2121027639109
17693	chr1	18682001	18682200	*	0.00290718241585103	0.0320032484931714	10.164581961817
18076	chr1	18992601	18992800	*	1.99348243607672e-06	5.45244243408208e-05	15.1917305271938
18326	chr1	19201201	19201400	*	0.000277180644007639	0.00448254370193148	10.7120405477084
18567	chr1	19399201	19399400	*	0.00474394058305609	0.0471558276415371	11.971952058159
18606	chr1	19455401	19455600	*	3.02274957348092e-08	1.13764079394447e-06	15.9475214221573
18628	chr1	19493201	19493400	*	5.56369134686929e-09	2.32901961467757e-07	19.2916607873571
18667	chr1	19529801	19530000	*	0.000535905172624845	0.00787985315997566	10.2777104050449
18819	chr1	19658401	19658600	*	9.0499999267427e-10	4.20917942851515e-08	23.09191233215
18828	chr1	19669401	19669600	*	3.62822686503068e-05	0.000751428536028216	10.4633119042341
18937	chr1	19734001	19734200	*	1.17177364326536e-19	1.32276021722198e-17	35.557920340529
19343	chr1	19989401	19989600	*	0.000123091827588324	0.0022148779729305	13.823151390805
19346	chr1	19991401	19991600	*	0.00275170963998574	0.0306320276710272	10.9259259259259
19553	chr1	20139201	20139400	*	6.74683875573766e-14	4.89608303526362e-12	30.0298507462687
19923	chr1	20389201	20389400	*	5.29094133436812e-15	4.23606663925087e-13	25.8706210007826
19931	chr1	20394001	20394200	*	1.02103396966444e-05	0.000241578616588487	12.3849330745882
19964	chr1	20418401	20418600	*	2.51710647566313e-10	1.25774748710674e-08	26.1003367785391
20068	chr1	20556201	20556400	*	1.02980884117947e-05	0.000243423174137771	18.6536646744259
20070	chr1	20560201	20560400	*	1.94964868825564e-06	5.34023177789204e-05	12.5682332578884
20098	chr1	20581001	20581200	*	0.000123479353247017	0.00222049153573032	12.2441492237584
20143	chr1	20600201	20600400	*	3.95841274776193e-05	0.000811803281298248	13.8888888888889
20250	chr1	20704601	20704800	*	0.00122011259598707	0.015731583549748	10.7102841136455
20327	chr1	20795601	20795800	*	1.15977798936393e-08	4.62384975522521e-07	21.6517857142857
20350	chr1	20808401	20808600	*	4.09118532867963e-05	0.00083600981220446	11.5384615384615
20632	chr1	21031001	21031200	*	8.30570250491247e-07	2.44151169036628e-05	14.5168463508519
20832	chr1	21264201	21264400	*	0.000228613886532452	0.00379216233028183	11.8771860984182
21087	chr1	21546201	21546400	*	3.77112883351511e-10	1.8436097610151e-08	20.8819432837484
21144	chr1	21581201	21581400	*	1.06899282768276e-09	4.93147516357108e-08	19.1983147830706
21253	chr1	21655401	21655600	*	0.000156382066040186	0.00273237906828864	14.4292237442922
21331	chr1	21711801	21712000	*	0.00361451936895703	0.0380733874864773	10.1243528846667
21335	chr1	21722001	21722200	*	0.00106234327907933	0.0140303128267188	10.3234412625816
21358	chr1	21732801	21733000	*	1.43659443108957e-06	4.04600369186023e-05	15.7530504461847
21359	chr1	21733001	21733200	*	7.16940275664756e-14	5.19340562134114e-12	29.0485829959514
21430	chr1	21756801	21757000	*	0.00188237503299779	0.0224892262524085	13.1975655430712
21478	chr1	21780001	21780200	*	3.01768547461844e-12	1.86609842166686e-10	13.6439735156562
21696	chr1	21985801	21986000	*	4.79540736929556e-06	0.000121670153964733	10.8110590612657
21709	chr1	21997401	21997600	*	1.1757950713154e-08	4.68193355520228e-07	24.3496372313719
21716	chr1	22001201	22001400	*	2.4481942246336e-14	1.84969334761134e-12	19.3268129350604
21827	chr1	22100001	22100200	*	2.11442453793562e-07	6.92161216288742e-06	21.0475409491369
21854	chr1	22129801	22130000	*	0.000922966508222305	0.0124608915389159	15.1248138740475
21855	chr1	22130001	22130200	*	4.62145647222407e-07	1.42456523052972e-05	18.8253968253968
21857	chr1	22144201	22144400	*	0.000108934875351118	0.0019880254334188	16.528857624748
21991	chr1	22258801	22259000	*	5.13202630951978e-05	0.0010215797127384	12.0718670582063
22006	chr1	22274601	22274800	*	1.86010530752297e-06	5.11794739154601e-05	12.738129569628
22089	chr1	22357201	22357400	*	7.83127283809063e-09	3.2035870169599e-07	12.8453608247423
22227	chr1	22451401	22451600	*	1.33435816249224e-18	1.39607930473975e-16	28.4077299945563
22279	chr1	22492201	22492400	*	8.39096517838753e-08	2.94095768981675e-06	21.6701810830199
22409	chr1	22619601	22619800	*	0.000750334054818299	0.010456384508553	11.9154662507264
22514	chr1	22723401	22723600	*	2.41756931321746e-12	1.50797408327069e-10	14.6161181193705
22565	chr1	22770001	22770200	*	0.000207041671174198	0.00348112648191647	11.1903548989642
22574	chr1	22789601	22789800	*	3.40088657879358e-18	3.4673050988383e-16	33.3916589321851
22623	chr1	22855601	22855800	*	1.2734299603175e-15	1.06738618270341e-13	23.5589631252282
22647	chr1	22903001	22903200	*	0.0043827308863537	0.0443058647286443	12.822695035461
22793	chr1	23059801	23060000	*	6.84942376796567e-07	2.04183494437053e-05	17.6926691729323
22803	chr1	23073401	23073600	*	6.58669814507776e-05	0.0012747277291597	10.0072498187545
22852	chr1	23173001	23173200	*	1.17263227411066e-09	5.38882267948232e-08	18.8970588235294
22959	chr1	23279201	23279400	*	0.0010730550868992	0.0141503948026008	12.0084510259241
23038	chr1	23382801	23383000	*	0.00326231423646587	0.0350746311776459	11.5383113332813
23046	chr1	23394001	23394200	*	5.94223486119993e-07	1.79071800403951e-05	14.1564318034906
23158	chr1	23472801	23473000	*	8.03954459618298e-12	4.76117896657089e-10	16.408655490934
23384	chr1	23675801	23676000	*	0.0039879065739451	0.0411562866918759	12.1787592375828
23387	chr1	23682801	23683000	*	6.40664394684451e-11	3.42747382038371e-09	25.5225875434376
23719	chr1	24091001	24091200	*	1.6927403223169e-07	5.62899515470623e-06	17.0108598896208
23721	chr1	24095801	24096000	*	6.11645604759073e-05	0.00119329588810077	14.4159831370572
23786	chr1	24180401	24180600	*	0.000115040357791819	0.00208707798032147	13.0586493272388
23829	chr1	24252201	24252400	*	3.00318499836493e-09	1.30253334315693e-07	14.247221176355
23969	chr1	24423401	24423600	*	3.7054496986104e-05	0.000765558242392777	15.0294784580499
24015	chr1	24483801	24484000	*	3.86717225716148e-08	1.43210686236964e-06	21.3485673580714
24022	chr1	24491001	24491200	*	1.19400276426616e-05	0.000278046966074282	14.5343112629358
24033	chr1	24503001	24503200	*	0.000536600377813383	0.00788935769349028	12.2246924559063
24072	chr1	24564401	24564600	*	6.20616405788746e-20	7.17599680684129e-18	25.67175066313
24149	chr1	24679001	24679200	*	1.92677109179166e-05	0.000426914805354618	14.8979273803958
24234	chr1	24823401	24823600	*	3.39976439616786e-05	0.000708423882164805	12.3202614379085
24380	chr1	24972201	24972400	*	4.53209461253128e-10	2.19340413174103e-08	13.1347026510628
24448	chr1	25095601	25095800	*	1.07189904002073e-05	0.000252247297456347	14.1318596581416
24464	chr1	25130801	25131000	*	9.58174880239445e-05	0.00177590509140271	10.2926997245179
24486	chr1	25184001	25184200	*	0.00240250278715221	0.0274194961210875	12.0149890902191
24513	chr1	25231401	25231600	*	5.39693663205817e-05	0.00106799977653691	14.1787677992387
24654	chr1	25377201	25377400	*	5.24251768519765e-06	0.0001319374659426	11.4678726210665
24712	chr1	25436201	25436400	*	0.000239321969734357	0.00394529044770789	14.0842203994231
24866	chr1	25592801	25593000	*	5.36964723556053e-13	3.58819505394501e-11	22.6490755189862
25026	chr1	25768601	25768800	*	0.00162029922558269	0.0198948430498692	12.9297765617875
25309	chr1	26084801	26085000	*	9.33065721669086e-08	3.2484763372991e-06	20.4816270509701
25317	chr1	26106001	26106200	*	7.73135023858246e-06	0.000187550878190375	12.7680037532254
25436	chr1	26219201	26219400	*	0.000268109849026588	0.00435458465869728	10.1606764413304
25487	chr1	26267401	26267600	*	0.000506902236854296	0.00751905889134504	12.4313725490196
25491	chr1	26272001	26272200	*	1.58910478284728e-09	7.17923806587268e-08	14.8033304622452
25558	chr1	26346601	26346800	*	2.78410210950563e-05	0.000592392006017984	12.2550030946978
25612	chr1	26419801	26420000	*	0.00223492828323803	0.0258658416677708	12.325052936012
25652	chr1	26453801	26454000	*	2.20836339610421e-05	0.000482006604133815	19.3049450549451
25661	chr1	26483201	26483400	*	2.41645195198821e-05	0.000522032564262922	12.1866494771523
25965	chr1	26865601	26865800	*	0.000680410487048011	0.00963244895005535	14.632524110409
26019	chr1	26924601	26924800	*	0.00202246602772387	0.023856132690546	12.0525783619818
26131	chr1	27094201	27094400	*	0.000317883670220077	0.00504514138812231	11.3970588235294
26293	chr1	27298801	27299000	*	0.000160319938891675	0.00279077623254252	11.1706349206349
26301	chr1	27307601	27307800	*	1.40207894957378e-06	3.95706812796165e-05	14.6145713187236
26337	chr1	27340001	27340200	*	0.000326737617014049	0.00516613430396358	12.2733663203637
26390	chr1	27470601	27470800	*	1.78232265577139e-06	4.92320779491156e-05	12.20380175332
26409	chr1	27509401	27509600	*	4.03217773785394e-17	3.79166489058832e-15	17.923868401856
26452	chr1	27579401	27579600	*	4.82057319190748e-05	0.000966125493343315	12.9698701600778
26551	chr1	27647601	27647800	*	0.00283741326603701	0.0313802787634864	10.0222498985461
26601	chr1	27709201	27709400	*	9.19130951989319e-13	5.98125001481122e-11	21.9616794632358
26655	chr1	27749601	27749800	*	3.7338827523481e-11	2.05715361584699e-09	15.33527696793
26675	chr1	27777401	27777600	*	3.66517959949141e-09	1.57339862039065e-07	11.8250773090612
26882	chr1	28049401	28049600	*	3.06251914402949e-06	8.08039387375191e-05	14.1267290083772
26933	chr1	28099001	28099200	*	6.22864848192334e-06	0.000154328461189024	17.6484674329502
26937	chr1	28106801	28107000	*	0.00286072014555272	0.0315799522009964	10.0869565217391
26986	chr1	28176201	28176400	*	0.00159710792467585	0.0196616136032822	10.4378920452275
27019	chr1	28281001	28281200	*	1.42780610259186e-05	0.000326449476435719	18.3865827114428
27164	chr1	28513201	28513400	*	5.31493194920396e-06	0.000133614284922706	16.8896321070234
27203	chr1	28586201	28586400	*	0.00102580760301524	0.0136251562622425	15.0793033742808
27218	chr1	28610601	28610800	*	1.29006055741661e-06	3.66846164525312e-05	11.1765901239585
27245	chr1	28665001	28665200	*	0.00452743589764098	0.0454533206200737	10.3800381116744
27549	chr1	29082001	29082200	*	9.13662567676343e-06	0.00021820241632099	17.0062695924765
27721	chr1	29318801	29319000	*	1.15179559442717e-05	0.000269187685340745	15.3712094806553
27773	chr1	29387801	29388000	*	9.67248492915437e-05	0.00179148988569496	18.3466135458167
27853	chr1	29532801	29533000	*	9.48646028433308e-07	2.76123629301499e-05	10.9501544627202
28307	chr1	30122401	30122600	*	0.00371898480384442	0.0389314943810103	12.18820861678
28314	chr1	30131001	30131200	*	0.00130596764425458	0.0166401313406566	12.0640592945536
