JAPONICA NIPPONBARE POSITIONS,ASSAY ID,ACCESSION,SUBPOPULATION,MISMATCH,25462764,25463321
"AUS 242::IRGC 29040-1::[IRIS 313-11051]",IRIS 313-11051,IRGC 127181,aus,2.0,G,G
"AUS 278::IRGC 29068-1::[IRIS 313-11052]",IRIS 313-11052,IRGC 127182,aus,2.0,G,G
"AUS 282::IRGC 29072-1::[IRIS 313-11053]",IRIS 313-11053,IRGC 127183,aus,2.0,G,G
"AUS 295::IRGC 29083-1::[IRIS 313-11054]",IRIS 313-11054,IRGC 127184,aus,2.0,G,G
"AUS 299::IRGC 29087-1::[IRIS 313-11055]",IRIS 313-11055,IRGC 127185,aus,2.0,G,G
"AUS 308::IRGC 29096-1::[IRIS 313-11057]",IRIS 313-11057,IRGC 127187,aus,2.0,G,G
"AUS 329::IRGC 29116-1::[IRIS 313-11058]",IRIS 313-11058,IRGC 127188,aus,2.0,G,G
"AUS 359::IRGC 29146-2::[IRIS 313-11060]",IRIS 313-11060,IRGC 132322,aus,2.0,G,G
"AUS 449::IRGC 29230-1::[IRIS 313-11061]",IRIS 313-11061,IRGC 127190,aus,2.0,G,G
"BORO 70-2::IRGC 29283-1::[IRIS 313-11063]",IRIS 313-11063,IRGC 135741,aus,2.0,G,G
"BORO 275::IRGC 29294-2::[IRIS 313-11064]",IRIS 313-11064,IRGC 132306,aus,2.0,G,G
"BORO 394::IRGC 29297-2::[IRIS 313-11065]",IRIS 313-11065,IRGC 132326,aus,2.0,G,G
"KALIBORO 600::IRGC 29367-1::[IRIS 313-11067]",IRIS 313-11067,IRGC 127481,aus,2.0,G,G
"SAYAM::IRGC 31538-2::[IRIS 313-11110]",IRIS 313-11110,IRGC 128159,ind2,2.0,G,G
"HIJOL DIGA::IRGC 31655-1::[IRIS 313-11112]",IRIS 313-11112,IRGC 128308,aus,2.0,G,G
"KAL SHULI::IRGC 31665-2::[IRIS 313-11113]",IRIS 313-11113,IRGC 128069,ind2,2.0,G,G
"NEP BUNG::IRGC 32207-1::[IRIS 313-11119]",IRIS 313-11119,,indx,2.0,G,G
"DHALA AMAN 973::IRGC 32861-1::[IRIS 313-11125]",IRIS 313-11125,,admix,2.0,G,G
"NATEL BORO::IRGC 34749-1::[IRIS 313-11163]",IRIS 313-11163,IRGC 127652,aus,2.0,G,G
"BENA JHUPI::IRGC 34850-2::[IRIS 313-11165]",IRIS 313-11165,IRGC 127993,aus,2.0,G,G
"KADA CHOPA::IRGC 34954-1::[IRIS 313-11168]",IRIS 313-11168,IRGC 127473,aus,2.0,G,G
"LAL TAURA::IRGC 35017-1::[IRIS 313-11170]",IRIS 313-11170,IRGC 127547,aus,2.0,G,G
"RANI BHOG::IRGC 35109-1::[IRIS 313-11172]",IRIS 313-11172,IRGC 127762,aus,2.0,G,G
"SADA AUS::IRGC 35117-1::[IRIS 313-11173]",IRIS 313-11173,IRGC 127776,aus,2.0,G,G
"RANRUWAN::IRGC 36360-1::[IRIS 313-11191]",IRIS 313-11191,IRGC 127763,aus,2.0,G,G
"SLO 19::IRGC 35157-1::[IRIS 313-11174]",IRIS 313-11174,IRGC 127817,aus,2.0,G,G
"GAHB AWY 2-1::IRGC 36549-2::[IRIS 313-11193]",IRIS 313-11193,IRGC 128040,ind3,2.0,G,G
"SONA AUS::IRGC 35160-1::[IRIS 313-11175]",IRIS 313-11175,IRGC 127821,aus,2.0,G,G
"VADAI::IRGC 37341-1::[IRIS 313-11209]",IRIS 313-11209,IRGC 135806,ind2,2.0,G,G
"ZARBASAIL::IRGC 37346-1::[IRIS 313-11210]",IRIS 313-11210,IRGC 127911,aus,2.0,G,G
"NARIKEL BADI::IRGC 37550-1::[IRIS 313-11213]",IRIS 313-11213,IRGC 127648,aus,2.0,G,G
"LAL AMAN 207::IRGC 37754-1::[IRIS 313-11217]",IRIS 313-11217,,aro,2.0,G,G
"ARC 14150::IRGC 41435-2::[IRIS 313-11265]",IRIS 313-11265,IRGC 132242,aus,2.0,G,G
"ARC 15129::IRGC 41938-1::[IRIS 313-11277]",IRIS 313-11277,IRGC 127157,aus,2.0,G,G
"ARC 7425::IRGC 42538-1::[IRIS 313-11291]",IRIS 313-11291,IRGC 127170,aus,2.0,G,G
"ARC 14709::IRGC 42976-2::[IRIS 313-11300]",IRIS 313-11300,IRGC 127960,ind2,2.0,G,G
"JASURE AUS::IRGC 43860-1::[IRIS 313-11322]",IRIS 313-11322,IRGC 127449,aus,2.0,G,G
"JHORA::IRGC 43862-1::[IRIS 313-11323]",IRIS 313-11323,IRGC 127455,aus,2.0,G,G
"KALABOKRI::IRGC 43872-1::[IRIS 313-11324]",IRIS 313-11324,IRGC 127477,aus,2.0,G,G
"ARC 14756::IRGC 41736-1::[IRIS 313-11272]",IRIS 313-11272,IRGC 127153,aus,2.0,G,G
"SAMON::IRGC 44735-2::[IRIS 313-11344]",IRIS 313-11344,IRGC 128157,ind3,2.0,G,G
"CHILE BORO::IRGC 45297-2::[IRIS 313-11353]",IRIS 313-11353,IRGC 128013,aus,2.0,G,G
"CR 44-1::IRGC 45397-1::[IRIS 313-11356]",IRIS 313-11356,,aro,2.0,G,G
"JALADHI 1::IRGC 45858-2::[IRIS 313-11360]",IRIS 313-11360,IRGC 132342,aro,2.0,G,G
"SATHI::IRGC 46659-1::[IRIS 313-11371]",IRIS 313-11371,IRGC 127788,aus,2.0,G,G
"SAHM RUANG NAK::IRGC 47818-1::[IRIS 313-11387]",IRIS 313-11387,,ind3,2.0,G,G
"HTA7204::[CX144]",CX144,IRGC 135906,indx,2.0,G,G
"KARNAL LOCAL::[CX149]",CX149,,aro,2.0,G,G
"MADHUKAR::[CX155]",CX155,IRGC 135979,ind2,2.0,G,G
"VANDANA::[CX236]",CX236,IRGC 117598,indx,2.0,G,G
"N22::[CX368]",CX368,IRGC 135996,aus,2.0,G,G
"TOG6542::[CX402]",CX402,,admix,2.0,G,G
"PUSA(BASMATI 1)::[CX46]",CX46,IRGC 136026,admix,2.0,G,G
"CHHOTI MASHINO::IRGC 67830-1::[IRIS 313-11743]",IRIS 313-11743,IRGC 127272,aro,1.5,A/G,G
"MUDALIGA WEE::IRGC 74706-1::[IRIS 313-11916]",IRIS 313-11916,IRGC 128395,ind2,1.5,G,A/G
"KALA MUNA::IRGC 31832-2::[IRIS 313-11115]",IRIS 313-11115,IRGC 128066,ind2,1.5,A/G,G
"RATNAGIRI 45-2::IRGC 39709-1::[IRIS 313-11243]",IRIS 313-11243,IRGC 127765,admix,1.5,G,A/G
"ARC 14737::IRGC 41729-2::[IRIS 313-11271]",IRIS 313-11271,IRGC 127961,ind2,1.5,A/G,G
"ARC 14901::IRGC 41811-1::[IRIS 313-11274]",IRIS 313-11274,IRGC 127155,aus,1.5,G,A/G
"N 22::IRGC 46459-1::[IRIS 313-10150]",IRIS 313-10150,IRGC 126249,aus,1.0,G,
"LEK::IRGC 40199-1::[IRIS 313-8911]",IRIS 313-8911,,admix,1.0,A/G,A/G
"KHAGRAI DIGHA::IRGC 53529-1::[IRIS 313-11486]",IRIS 313-11486,IRGC 135757,admix,1.0,A/G,A/G
"GODADANI::IRGC 60944-1::[IRIS 313-11598]",IRIS 313-11598,IRGC 127387,admix,1.0,A/G,A/G
"KARISHNABELI::IRGC 61979-1::[IRIS 313-11628]",IRIS 313-11628,IRGC 127494,admix,1.0,A/G,A/G
"DILBAKSH::IRGC 74738-1::[IRIS 313-11918]",IRIS 313-11918,IRGC 128279,ind2,1.0,A/G,A/G
"ZIRI::[CX108]",CX108,,admix,1.0,A/G,A/G
"KASALATH::[CX227]",CX227,IRGC 117617,aus,1.0,A/G,A/G
"BG 300::[CX34]",CX34,IRGC 135840,indx,1.0,A/G,A/G
"HAOGELAO::[CX367]",CX367,,trop,1.0,A/G,A/G
"TOG5674::[CX400]",CX400,,admix,1.0,A/G,A/G
"TOG7291::[CX401]",CX401,,indx,1.0,A/G,A/G
"M 102::IRGC 76307-1::[IRIS 313-8502]",IRIS 313-8502,IRGC 125620,temp,0.5,A/G,A
"MENALAVA::IRGC 97122-1::[IRIS 313-12278]",IRIS 313-12278,IRGC 135774,ind2,0.5,A,A/G
"BUCHI::IRGC 45237-2::[IRIS 313-11352]",IRIS 313-11352,IRGC 128004,aro,0.5,A/G,
"KAUSHI::IRGC 49789-1::[IRIS 313-11415]",IRIS 313-11415,,admix,0.5,,A/G
"FEDEARROZ 50::G1::[IRIS 313-15896]",IRIS 313-15896,IRGC 126957,ind1B,0.0,A,A
"SANHUANGZHAN NO 2::G1::[IRIS 313-15897]",IRIS 313-15897,IRGC 126968,indx,0.0,A,A
"IR 4630-22-2-5-1-3::G1::[IRIS 313-15898]",IRIS 313-15898,IRGC 126962,indx,0.0,A,A
"IR 45427-2B-2-2B-1-1::G1::[IRIS 313-15899]",IRIS 313-15899,IRGC 126961,indx,0.0,A,A
"IR 07F287::G1::[IRIS 313-15900]",IRIS 313-15900,IRGC 126960,indx,0.0,A,A
"IR 77298-14-1-2-10::G1::[IRIS 313-15901]",IRIS 313-15901,IRGC 126964,ind1B,0.0,A,A
"IRRI 146::G1::[IRIS 313-15902]",IRIS 313-15902,IRGC 126966,ind1B,0.0,A,A
"IAC 165::IRGC 82775-2::[IRIS 313-15903]",IRIS 313-15903,,indx,0.0,A,A
"JINBUBYEO::G1::[IRIS 313-15904]",IRIS 313-15904,IRGC 126967,temp,0.0,A,A
"WAB 56-125::IRTP 19771-G1::[IRIS 313-15905]",IRIS 313-15905,IRGC 126969,trop,0.0,A,A
"IR 73571-3B-11-3-K2::G1::[IRIS 313-15906]",IRIS 313-15906,IRGC 126963,indx,0.0,A,A
"INIA TACUARI::G1::[IRIS 313-15907]",IRIS 313-15907,IRGC 126959,trop,0.0,A,A
"CYPRESS::IRTP 19532-G1::[IRIS 313-15910]",IRIS 313-15910,IRGC 126956,trop,0.0,A,A
"CIWINI SML::IRGC 50642-1::[IRIS 313-9939]",IRIS 313-9939,IRGC 121316,admix,0.0,A,A
"ARC 13829::[IRIS 313-8712]",IRIS 313-8712,IRGC 117426,aro,0.0,A,A
"DOM ZARD::[IRIS 313-8747]",IRIS 313-8747,IRGC 117466,aro,0.0,A,A
"ARC 10497::[IRIS 313-8813]",IRIS 313-8813,IRGC 117425,aro,0.0,A,A
"SHANKA::IRGC 67848-1::[IRIS 313-8814]",IRIS 313-8814,IRGC 121499,aro,0.0,A,A
"JC 157::[IRIS 313-9629]",IRIS 313-9629,IRGC 117498,aro,0.0,A,A
"KHARSU 80::IRGC 28016-1::[IRIS 313-8398]",IRIS 313-8398,IRGC 121022,aus,0.0,A,A
"BATHURI::IRGC 25838-1::[IRIS 313-8963]",IRIS 313-8963,IRGC 120887,aus,0.0,A,A
"ARC 10100::IRGC 20709-1::[IRIS 313-9137]",IRIS 313-9137,IRGC 121185,aus,0.0,A,A
"CHUNGUR BALI::IRGC 25855-1::[IRIS 313-9422]",IRIS 313-9422,IRGC 120915,aus,0.0,A,A
"LENJA MURALI::IRGC 66815-1::[IRIS 313-9661]",IRIS 313-9661,IRGC 121038,aus,0.0,A,A
"KHAO DAWK MALI 105::IRGC 27748-2::[IRIS 313-8253]",IRIS 313-8253,IRGC 121235,ind3,0.0,A,A
"CHUA DAU::IRGC 4785-1::[IRIS 313-9555]",IRIS 313-9555,IRGC 120914,indx,0.0,A,A
"SOM NGHE AN::IRGC 60751-1::[IRIS 313-8409]",IRIS 313-8409,IRGC 126007,indx,0.0,A,A
"NCS 964 C::IRGC 62604-1::[IRIS 313-9400]",IRIS 313-9400,IRGC 125854,indx,0.0,A,A
"O. SATIVA::IRGC 17083-1::[IRIS 313-9882]",IRIS 313-9882,IRGC 125863,indx,0.0,A,A
"PUTTU NELLU::IRGC 55346-1::[IRIS 313-9969]",IRIS 313-9969,IRGC 126989,indx,0.0,A,A
"68-2::IRGC 14546-1::[IRIS 313-8399]",IRIS 313-8399,IRGC 126113,temp,0.0,A,A
"WIR 1072::IRGC 57496-1::[IRIS 313-8890]",IRIS 313-8890,IRGC 121541,temp,0.0,A,A
"SHINCHIKU IKU 103::IRGC 10430-1::[IRIS 313-9346]",IRIS 313-9346,IRGC 121501,temp,0.0,A,A
"AMARELO::IRGC 9389-1::[IRIS 313-9814]",IRIS 313-9814,IRGC 121249,temp,0.0,A,A
"POENOET HITAM::IRGC 8193-1::[IRIS 313-8324]",IRIS 313-8324,IRGC 121474,admix,0.0,A,A
"NABESHI::[IRIS 313-8927]",IRIS 313-8927,IRGC 117535,subtrop,0.0,A,A
"WANICA::IRGC 3394-1::[IRIS 313-9519]",IRIS 313-9519,IRGC 125936,trop,0.0,A,A
"KETAN MENAH::IRGC 48733-1::[IRIS 313-10152]",IRIS 313-10152,IRGC 125798,trop,0.0,A,A
"COLOMBIA 1::IRGC 116970-1::[IRIS 313-10272]",IRIS 313-10272,IRGC 125714,japx,0.0,A,A
"KOSAGI::IRGC 57692-1::[IRIS 313-8769]",IRIS 313-8769,IRGC 126225,trop,0.0,A,A
"ARC 11430 B::IRGC 14567-1::[IRIS 313-8999]",IRIS 313-8999,IRGC 125640,subtrop,0.0,A,A
"DARAWAL::IRGC 71514-1::[IRIS 313-9101]",IRIS 313-9101,IRGC 125724,admix,0.0,A,A
"81 A 32::IRGC 60162-1::[IRIS 313-9140]",IRIS 313-9140,IRGC 125631,temp,0.0,A,A
"YANGKUM (RED)::[IRIS 313-9404]",IRIS 313-9404,IRGC 117593,admix,0.0,A,A
"NEWREX::IRGC 64657-1::[IRIS 313-9648]",IRIS 313-9648,IRGC 125855,admix,0.0,A,A
"GEANT W 7::IRGC 9620-1::[IRIS 313-9817]",IRIS 313-9817,IRGC 121342,ind2,0.0,A,A
"SITORU::IRGC 66669-1::[IRIS 313-8664]",IRIS 313-8664,,trop,0.0,A,A
"JC 1::[IRIS 313-8326]",IRIS 313-8326,IRGC 117494,aro,0.0,A,A
"PANKHARI 203::[IRIS 313-9083]",IRIS 313-9083,IRGC 117551,aro,0.0,A,A
"CHAWAL::IRGC 73090-1::[IRIS 313-9601]",IRIS 313-9601,IRGC 121606,aro,0.0,A,A
"BERENJ 1277 S::IRGC 3461-1::[IRIS 313-9783]",IRIS 313-9783,IRGC 121902,admix,0.0,A,A
"PANNITHI::IRGC 51049-1::[IRIS 313-9949]",IRIS 313-9949,IRGC 126078,trop,0.0,A,A
"KURULU WEE (WHITE)::IRGC 66518-1::[IRIS 313-8342]",IRIS 313-8342,IRGC 121029,aus,0.0,A,A
"TAK::IRGC 73124-1::[IRIS 313-8655]",IRIS 313-8655,IRGC 121582,aus,0.0,A,A
